date,all_wpd,,,move,,Date,WIP,,,WIP,,DATE,move,WIP
2022/6/15,5515,,2022/4/15,15315,,2022/5/23,1753,,2022/4/15,5768,,2022/4/15,15315,5768
2021/8/26,5206,,2022/4/16,16624,,2022/5/23,712,,2022/4/16,0,,2022/4/16,16624,0
2021/8/26,5956,,2022/4/17,16571,,2022/5/23,106,,2022/4/17,11953,,2022/4/17,16571,11953
2021/8/26,6167,,2022/4/18,10404,,2022/5/23,0,,2022/4/18,5878,,2022/4/18,10404,5878
2021/8/28,5575,,2022/4/19,10692,,2022/5/23,245,,2022/4/19,7576,,2022/4/19,10692,7576
2022/2/15,5324,,2022/4/20,0,,2022/5/23,0,,2022/4/20,5448,,2022/4/20,0,5448
2022/2/15,5214,,2022/4/21,0,,2022/5/23,1019,,2022/4/21,8504,,2022/4/21,0,8504
2022/2/15,3758,,2022/4/22,19299,,2022/5/23,0,,2022/4/22,9188,,2022/4/22,19299,9188
2022/1/22,5734,,2022/4/23,19135,,2021/9/30,0,,2022/4/23,8659,,2022/4/23,19135,8659
2022/1/22,2594,,2022/4/24,4330,,2022/1/7,71,,2022/4/24,6095,,2022/4/24,4330,6095
2022/1/22,0,,2022/4/25,6907,,2022/1/7,2031,,2022/4/25,0,,2022/4/25,6907,0
